mu_mult,phi,trials,rejections,rejection_rate,ci_low,ci_high
0.00,-0.40,100,1,0.0100,0.0018,0.0545
0.00,0.00,100,1,0.0100,0.0018,0.0545
0.00,0.40,100,0,0.0000,0.0000,0.0362
1.00,-0.40,100,44,0.4400,0.3467,0.5377
1.00,0.00,100,58,0.5800,0.4821,0.6720
1.00,0.40,100,62,0.6200,0.5221,0.7090
2.00,-0.40,100,75,0.7500,0.6570,0.8245
2.00,0.00,100,87,0.8700,0.7902,0.9224
2.00,0.40,100,98,0.9800,0.9300,0.9945
