effect_mult,effect_ns,trials,detections,detection_rate,ci_low,ci_high,median_samples,median_time_ms
0.0000,0.0,100,0,0.0000,0.0000,0.0362,3500,1017
1.0000,100.0,100,54,0.5400,0.4426,0.6344,3500,1024
2.0000,200.0,100,66,0.6600,0.5628,0.7454,3500,732
